Product Name,Product Number,Product Price
Huawei MateBook X Pro 13.9" kannettava (hopea),HU53010DAE,1 399 
Lenovo Ideapad 330 15.6" kannettava (onyksinmusta),LE81DE00KYMX,389 
Norton Security Deluxe (5 laitetta),NORTONSECST5D,19,95 
Acer Chromebook 14 14" kannettava (sininen),ACNXGU7ED006,349 
Asus Chromebook C223NA 11.6" kannettava (harmaa),ASC223NGJ0002,199 
HP 14-cm0822no 14" kannettava (musta),HP14CM0822NO,449 
HP Chromebook x2 12-f080no 12.3" 2-in-1 (valkoinen/harmaa),11215,899 
HP Pavilion 15-cs0814no 15.6" kannettava (vaalea kulta),HP15CS0814NO,799 
Huawei MateBook X Pro 13.9" kannettava (hopea),HU53010DAE,1 399 
Lenovo Ideapad 330 15.6" kannettava (onyksinmusta),LE81DE00KYMX,389 
Norton Security Deluxe (5 laitetta),NORTONSECST5D,19,95 
Acer Chromebook 14 14" kannettava (sininen),ACNXGU7ED006,349 
Asus Chromebook C223NA 11.6" kannettava (harmaa),ASC223NGJ0002,199 
HP 14-cm0822no 14" kannettava (musta),HP14CM0822NO,449 
HP 14-cm0822no 14" kannettava (musta),HP14CM0822NO,449 
Asus Chromebook C223NA 11.6" kannettava (harmaa),ASC223NGJ0002,199 
Dell Inspiron G3 15.6" pelikannettava (musta),10325,699Outletista alkaen 604€
Lenovo Ideapad 330 15.6" kannettava (onyksinmusta),LE81DE00KYMX,389 
MacBook Air 2018 13.3" 128 GB (tähtiharmaa),15045,1 199 
Asus ROG Strix Hero 2 15.6" pelikannettava (musta),ASGL504G159,1 499Outletista alkaen 1 404€
MacBook Air 13.3" MQD32,MACAMQD32KSA,899Outletista alkaen 774€
HP Stream 14-cb087no 14" kannettava (valkoinen),11331,249 
Acer Switch 5 12" 2-in-1 (musta),ACNTLDSED001,769 
Acer Chromebook R11 11.6" 2-in-1 (valkoinen),ACNXG54ED015,369Outletista alkaen 268€
Lenovo Ideapad 120s 11.6" kannettava (harmaa),LE81A400L1MX,199 
Dell XPS 13-9370 13.3" kannettava (platina),DEXPS9370607,1 399Outletista alkaen 1 227€
Acer Aspire 5 15.6" kannettava (musta),10237,1 099Outletista alkaen 999€
Acer Nitro 5 SE 15.6" kannettava tietokone (musta),ACNHQ3YED003,1 049Outletista alkaen 986€
Acer Aspire 5 15.6" kannettava (musta),ACNXGT0ED002,597Outletista alkaen 488€
HP Pavilion 14-bf080no 14" kannettava (hopea),HP14BF080NO,527Outletista alkaen 432€
Surface Laptop i5 256 GB (platina),MSSLI58256PL,899Outletista alkaen 639€
Lenovo Legion Y530 15.6" pelikannettava (musta),10418,1 499Outletista alkaen 1 404€
Huawei MateBook X Pro 13.9" kannettava (tähtiharmaa),13354,1 649Outletista alkaen 1 544€
MacBook Air 2018 13.3" 128 GB (hopea),15094,1 199 
Lenovo Yoga S730 13.3" kannettava (platina),16263,1 099 
